@relation v1

@attribute 'Candle body' numeric
@attribute 'Upper shadow' numeric
@attribute 'Lower shadow' numeric
@attribute 'is Bullish' numeric
@attribute RSI numeric
@attribute 'RSI SCALED' numeric
@attribute 'RSI EXTREME TOUCHED' numeric
@attribute 'RSI EXTREME SCALED' numeric
@attribute CCI numeric
@attribute 'CCI SCALED' numeric
@attribute 'CCI CHANNEL BREAK' numeric
@attribute 'CCI CHANNEL BREAK SCALED' numeric
@attribute MACDIndicator numeric
@attribute bbSizeBand numeric
@attribute bbPricePosition numeric
@attribute Prediction {up,down,no}

@data
0.00004,0.00007,0.00005,-1,3,3,0,0,1,1,0,0,0.000085,0.000841,41.391924,down
0.00017,0,0.00002,-1,3,3,0,0,0,0,0,0,0.000085,0.000788,0.126937,down
0.00018,0.00001,0.00004,-1,2,2,0,0,-1,-1,0,0,0.000082,0.000732,-48.235534,up
0.00009,0.00009,0.0001,0,3,3,0,0,-1,-1,0,0,0.000077,0.000695,-24.027689,down
0.00002,0.0001,0,-1,2,2,0,0,0,0,0,0,0.000071,0.000691,-33.161644,down
0.00003,0.00004,0.00006,0,3,3,0,0,-1,-1,0,0,0.000066,0.000679,-22.829477,up
0.00014,0.00002,0.00003,-1,3,3,0,0,-2,-2,0,0,0.000058,0.000722,-60.553344,up
0.00022,0.0003,0.00026,0,3,3,0,0,0,0,0,0,0.000053,0.000676,6.509417,down
0.00016,0.00003,0.00003,-1,3,3,0,0,-1,-1,0,0,0.000046,0.000671,-36.945035,up
0.00001,0.00009,0.00005,-1,3,3,0,0,-1,-1,0,0,0.00004,0.000642,-36.421612,up
0.0001,0.00015,0.00011,0,3,3,0,0,0,0,0,0,0.000035,0.000589,-1.696683,down
0.00007,0.00001,0.00004,-1,3,3,0,0,0,0,0,0,0.00003,0.000575,-19.297236,down
0.00011,0.00016,0.00011,0,3,3,0,0,0,0,0,0,0.000027,0.000575,13.92094,down
0.0001,0.00002,0.00002,-1,2,2,0,0,0,0,0,0,0.000024,0.00057,-18.058542,down
0.00002,0.00004,0.00012,0,3,3,0,0,-1,-1,0,0,0.000021,0.000533,-14.637083,down
0.00022,0.00001,0,-1,2,2,0,0,-3,-3,-2,-1,0.000015,0.000608,-84.526784,down
0.00007,0,0.00016,-1,3,3,0,0,-4,-4,-2,-1,0.000007,0.0007,-86.338591,up
0.00001,0.0002,0.00001,0,2,2,0,0,-3,-3,-2,-1,-0.000002,0.000743,-72.539159,up
0.00002,0,0.00008,-1,2,2,0,0,-4,-4,-2,-1,-0.000012,0.00079,-74.600679,up
0.00002,0.00006,0.00008,0,2,2,0,0,-3,-3,-2,-1,-0.000021,0.000754,-67.354223,up
0.00001,0.00006,0.00002,-1,3,3,0,0,-2,-2,0,0,-0.000031,0.000724,-67.65059,up
0.00009,0.00012,0.00013,0,2,2,0,0,-1,-1,0,0,-0.000038,0.000711,-36.261679,up
0.00018,0.00019,0.00022,0,3,3,0,0,0,0,0,0,-0.000041,0.000713,11.227034,up
0.00002,0.00003,0.00011,0,3,3,0,0,0,0,0,0,-0.000041,0.000705,23.247799,down
0.00003,0.00005,0.00006,0,3,3,0,0,0,0,0,0,-0.000039,0.000705,26.082897,down
0.00001,0.00003,0.00001,-1,3,3,0,0,1,1,0,0,-0.000035,0.000696,24.289063,down
0.00001,0.00002,0.00005,-1,3,3,0,0,0,0,0,0,-0.00003,0.000703,25.319647,down
0,0.00002,0.00002,-1,3,3,0,0,1,1,0,0,-0.000025,0.00067,28.366899,down
0.00006,0,0,-1,3,3,0,0,0,0,0,0,-0.00002,0.000668,10.776922,down
0.00022,0,0,-1,3,3,0,0,-1,-1,0,0,-0.00002,0.000701,-54.613025,up
0.00011,0.00011,0.00011,0,3,3,0,0,0,0,0,0,-0.00002,0.00068,-14.85746,up
0.00003,0.00003,0.00003,-1,3,3,0,0,0,0,0,0,-0.000021,0.000669,-9.863113,down
0.00008,0,0,-1,3,3,0,0,-1,-1,0,0,-0.000023,0.000637,-39.217194,down
0.0001,0.00011,0.0001,0,3,3,0,0,0,0,0,0,-0.000025,0.000615,0.812478,down
0.00001,0.00005,0.00004,-1,3,3,0,0,0,0,0,0,-0.000025,0.000583,3.774496,down
0.00005,0.00007,0.00001,-1,3,3,0,0,0,0,0,0,-0.000026,0.00058,2.757596,down
0.00011,0.00003,0.00005,-1,2,2,0,0,-1,-1,0,0,-0.000027,0.000578,-35.473247,down
0.00013,0.00007,0.00006,-1,2,2,0,0,-1,-1,0,0,-0.00003,0.000598,-56.512179,up
0.00006,0.00004,0.00003,-1,2,2,-1,-1,-2,-2,0,0,-0.000035,0.000638,-76.507262,up
0.00003,0.00003,0.00002,-1,2,2,-1,-1,-3,-3,-2,-1,-0.000041,0.000696,-79.503049,down
0.00011,0.00011,0.00011,0,2,2,0,0,-2,-2,0,0,-0.000046,0.000701,-47.207801,no
0.00003,0.00004,0.00004,0,2,2,0,0,-1,-1,0,0,-0.00005,0.000711,-31.508694,no
0.00014,0.00024,0.00018,0,3,3,0,0,0,0,0,0,-0.00005,0.000697,9.474362,down
0.00019,0.00006,0.00003,-1,3,3,0,0,-1,-1,0,0,-0.000051,0.00069,-43.505683,down
0.00013,0.00006,0,-1,2,2,0,0,-2,-2,0,0,-0.000054,0.000723,-76.097694,up
0.00013,0.00013,0.00013,0,3,3,0,0,-1,-1,0,0,-0.000056,0.000689,-28.604284,down
0.00006,0.0001,0.00009,0,3,3,0,0,0,0,0,0,-0.000057,0.000632,-10.76386,down
